"","id","stage","prueba","cuadrante_so","cuadrante_se","cuadrante_ne","cuadrante_no","zona_ne","zona_so","zona_blanco","cruces_blanco","cruces_ne","cruces_so","eficiencia_ne","eficiencia","eficiancia_so","latencia","distancia","velocidad","distancia_media_blanco","distancia_annulus_ne","distancia_annulus_so","tiempo","dia","tratamientos"
"1","1a","prueba_1","P-1",4.5,12.5,38.1,4.9,26.2,2.2,43.6666666666667,8,8,1,0.487,NA,0.038,60,13.275,0.221,0.246,0.246,0.568,NA,0,"Flx-CUMS"
"2","3a","prueba_1","P-1",5.2,16.8,31.8,6.2,21.5,1.6,35.8333333333333,8,8,1,0.858,NA,0.046,60,13.685,0.228,0.257,0.257,0.501,NA,0,"Flx-CUMS"
"3","4a","prueba_1","P-1",8.9,11.2,27.6,12.4,17.3,3.6,28.8333333333333,6,6,1,0.954,NA,0.168,60,13.849,0.231,0.284,0.284,0.475,NA,0,"Flx-CUMS"
"4","3b","prueba_1","P-1",3.4,7.3,43.2,6.1,27.3,0.9,45.5,8,8,0,0.451,NA,NA,60,13.554,0.226,0.194,0.194,0.576,NA,0,"Sal-CUMS-F"
"5","1-1","prueba_1","P-1",8.6,13.6,31.3,6.5,20.3,6,33.8333333333333,6,6,1,0.926,NA,0.035,60,13.447,0.224,0.279,0.279,0.499,NA,0,"Sal-CUMS-F"
"6","3-1","prueba_1","P-1",0,13.8,43,3.2,23.6,0,39.3333333333333,9,9,0,0.478,NA,NA,60,13.026,0.217,0.214,0.214,0.611,NA,0,"Sal-CUMS-F"
"7","4-1","prueba_1","P-1",5,12.1,34.3,8.6,22.1,2,36.8333333333333,8,8,0,0.934,NA,NA,60,13.193,0.22,0.262,0.262,0.524,NA,0,"Sal-CUMS-F"
"8","1-2","prueba_1","P-1",4.1,12.6,37.2,6.2,21.6,1.8,36,3,3,0,0.309,NA,NA,60,10.236,0.171,0.233,0.233,0.505,NA,0,"Flx-CUMS"
"9","2-2","prueba_1","P-1",5.3,6.4,34,14.4,24.5,2.7,40.8333333333333,7,7,1,0.819,NA,0.06,60,12.347,0.206,0.254,0.254,0.536,NA,0,"Flx-CUMS"
"10","3-2","prueba_1","P-1",5.9,16.1,29.8,8.2,17.1,3.1,28.5,5,5,1,0.091,NA,0.056,60,12.854,0.214,0.274,0.274,0.52,NA,0,"Flx-CUMS"
"11","4-2","prueba_1","P-1",6.3,10,29.9,13.8,17.4,4.1,29,3,3,2,0.42,NA,0.035,60,12.344,0.206,0.267,0.267,0.516,NA,0,"Flx-CUMS"
"12","1a","prueba_2","P-2",6.7,12.4,24.2,16.7,8.9,2.3,14.8333333333333,2,2,1,0.068,NA,0.139,60,14.656,0.244,0.377,0.377,0.57,NA,1,"Flx-CUMS"
"13","3a","prueba_2","P-2",14.4,10.5,15.2,19.9,4.1,5.9,6.83333333333333,1,1,2,0.096,NA,0.025,60,15.587,0.26,0.488,0.488,0.485,NA,1,"Flx-CUMS"
"14","4a","prueba_2","P-2",8.3,7.9,28.1,15.7,9.4,3.3,15.6666666666667,4,4,0,0.14,NA,NA,60,13.125,0.219,0.359,0.359,0.553,NA,1,"Flx-CUMS"
"15","3b","prueba_2","P-2",5,13.7,37.2,4.2,17.7,1.3,29.5,3,3,0,0.193,NA,NA,60,12.639,0.211,0.247,0.247,0.598,NA,1,"Sal-CUMS-F"
"16","1-1","prueba_2","P-2",8.8,11.5,28.5,11.1,10.3,4.4,17.1666666666667,5,5,0,0.811,NA,NA,60,14.355,0.239,0.339,0.339,0.545,NA,1,"Sal-CUMS-F"
"17","3-1","prueba_2","P-2",7.8,12.1,31.8,8.4,11.9,3.9,19.8333333333333,2,2,1,0.116,NA,0.04,60,13.515,0.225,0.342,0.342,0.553,NA,1,"Sal-CUMS-F"
"18","4-1","prueba_2","P-2",14.4,9.5,21.8,14.3,9.6,8.9,16,2,2,2,0.1,NA,0.752,60,14.034,0.234,0.397,0.397,0.49,NA,1,"Sal-CUMS-F"
"19","1-2","prueba_2","P-2",15.5,15,14.9,14.6,4.4,7.5,7.33333333333333,0,0,2,NA,NA,0.045,60,12.133,0.202,0.447,0.447,0.471,NA,1,"Flx-CUMS"
"20","2-2","prueba_2","P-2",7.8,6.3,35.4,10.6,13.5,3.8,22.5,3,3,0,0.095,NA,NA,60,11.566,0.193,0.317,0.317,0.593,NA,1,"Flx-CUMS"
"21","3-2","prueba_2","P-2",10.1,8,19.4,22.5,3.8,2.3,6.33333333333333,2,2,0,0.141,NA,NA,60,12.345,0.206,0.434,0.434,0.544,NA,1,"Flx-CUMS"
"22","4-2","prueba_2","P-2",14.9,17.5,18.7,8.9,4.3,3.9,7.16666666666667,1,1,1,0.083,NA,0.028,60,14.404,0.24,0.494,0.494,0.538,NA,1,"Flx-CUMS"
"23","4-1","prueba_rev","P-Rev",11.6,14.3,7.7,26.4,5.2,6.8,11.3333333333333,1,2,1,0.095,NA,0.13,60,12.01,0.2,0.392,0.427,0.392,NA,2,"Sal-CUMS-F"
"24","3-1","prueba_rev","P-Rev",17.4,23.5,14.1,5,7.9,11.8,19.6666666666667,3,0,3,NA,NA,0.073,60,12.57,0.21,0.39,0.392,0.39,NA,2,"Sal-CUMS-F"
"25","1-1","prueba_rev","P-Rev",22.2,16.8,15.7,5.3,6.5,12.8,21.3333333333333,2,2,2,0.127,NA,0.042,60,14.204,0.237,0.369,0.409,0.369,NA,2,"Sal-CUMS-F"
"26","3b","prueba_rev","P-Rev",6,24.1,24.7,5.2,15.4,2.9,4.83333333333333,0,6,0,0.928,NA,NA,60,14.74,0.246,0.464,0.312,0.464,NA,2,"Sal-CUMS-F"
"27","1a","prueba_rev","P-Rev",33.3,15.4,9.1,2.2,5.8,24.2,40.3333333333333,8,1,8,0.066,NA,0.669,60,13.244,0.221,0.291,0.497,0.291,NA,2,"Flx-CUMS"
"28","3a","prueba_rev","P-Rev",26.9,20.3,9.7,3.2,6.1,20.7,34.5,8,1,8,0.175,NA,0.249,60,13.871,0.231,0.317,0.455,0.317,NA,2,"Flx-CUMS"
"29","4a","prueba_rev","P-Rev",33,5.9,10.3,10.8,5.4,24.6,41,9,1,9,0.295,NA,0.09,60,13.673,0.228,0.254,0.485,0.254,NA,2,"Flx-CUMS"
"30","1-2","prueba_rev","P-Rev",33.9,9.8,6.1,10.3,3.8,21.9,36.5,5,0,5,NA,NA,0.799,60,11.831,0.197,0.264,0.507,0.264,NA,2,"Flx-CUMS"
"31","2-2","prueba_rev","P-Rev",32.5,14.7,6.1,6.7,3.3,19.1,31.8333333333333,3,0,3,NA,NA,0.549,60,11.545,0.192,0.257,0.488,0.257,NA,2,"Flx-CUMS"
"32","3-2","prueba_rev","P-Rev",31.3,3.5,9.6,15.6,4.8,18.3,30.5,5,2,5,0.163,NA,0.201,60,12.489,0.208,0.295,0.54,0.295,NA,2,"Flx-CUMS"
"33","4-2","prueba_rev","P-Rev",30.7,13.5,6.6,9.2,2.2,20.6,34.3333333333333,8,0,8,NA,NA,0.156,60,14.497,0.242,0.299,0.51,0.299,NA,2,"Flx-CUMS"
"34","#5","prueba_1","P-1",4.6,8.4,29.7,17.4,15.9,2.3,26.5,2,2,1,0.096,NA,0.188,60,12.754,0.213,0.268,0.268,0.545,NA,0,"Flx"
"35","#6","prueba_1","P-1",5.1,14.7,34.3,5.9,16.6,1.8,27.6666666666667,2,2,0,0.531,NA,NA,60,15.818,0.264,0.271,0.271,0.553,NA,0,"Flx"
"36","#5","prueba_2","P-2",10.1,13.5,23,13.3,13.6,3.8,22.6666666666667,3,3,1,0.063,NA,0.096,60,15.841,0.264,0.359,0.359,0.493,NA,1,"Flx"
"37","#6","prueba_2","P-2",6.1,9.8,32.7,11.4,16.3,2.2,27.1666666666667,2,2,1,0.138,NA,0.017,60,11.553,0.193,0.268,0.268,0.469,NA,1,"Flx"
"38","#5","prueba_rev","P-Rev",27.1,11.4,12.9,8.7,7,16.2,27,2,2,2,0.301,NA,0.024,60,12.278,0.205,0.289,0.422,0.289,NA,2,"Flx"
"39","#6","prueba_rev","P-Rev",38.6,6.3,6.8,8.4,2.6,27.6,46,10,0,10,NA,NA,0.292,60,12.533,0.209,0.225,0.52,0.225,NA,2,"Flx"
"40","CK_g1_1","prueba_1","P-1",9.8,4.3,37.3,8.6,21.3,6.8,35.5,5,5,1,0.435,NA,0.018,60,15.774,0.263,0.275,0.275,0.532,NA,0,"Ket-CUMS"
"41","CK_g1_2","prueba_1","P-1",4.3,5,35.3,15.4,20.1,2.1,33.5,6,6,1,0.885,NA,0.03,60,11.665,0.194,0.26,0.26,0.511,NA,0,"Ket-CUMS"
"42","CK_g1_3","prueba_1","P-1",6.8,2.3,43.4,7.5,20.9,4.2,34.8333333333333,6,6,2,0.627,NA,0.021,60,13.518,0.225,0.244,0.244,0.599,NA,0,"Ket-CUMS"
"43","CK_g1_4","prueba_1","P-1",2.8,5,43.7,8.4,26.8,1.9,44.6666666666667,2,2,0,0.075,NA,NA,60,12.24,0.204,0.186,0.186,0.609,NA,0,"Ket-CUMS"
"44","CK_g1_5","prueba_1","P-1",4.8,16.2,35.2,3.7,22.7,2.4,37.8333333333333,5,5,0,0.409,NA,NA,60,12.843,0.214,0.239,0.239,0.562,NA,0,"Ket-CUMS"
"45","CSK_g1_1","prueba_1","P-1",12.4,4,29.9,13.8,16.2,4.2,27,4,4,2,0.312,NA,0.041,60,13.397,0.223,0.335,0.335,0.472,NA,0,"Sal-CUMS-K"
"46","CSK_g1_2","prueba_1","P-1",10.2,12.4,24.2,13.2,9.9,6.1,16.5,2,2,3,0.555,NA,0.104,60,16.206,0.27,0.346,0.346,0.52,NA,0,"Sal-CUMS-K"
"47","CSK_g1_3","prueba_1","P-1",8.6,13.4,36.1,2,21.4,5.2,35.6666666666667,5,5,2,0.594,NA,0.015,60,15.169,0.253,0.266,0.266,0.523,NA,0,"Sal-CUMS-K"
"48","CSK_g1_4","prueba_1","P-1",7.8,9,32.1,11.1,17.3,5.4,28.8333333333333,6,6,0,0.72,NA,NA,60,15.756,0.263,0.28,0.28,0.527,NA,0,"Sal-CUMS-K"
"49","CK_g1_1","prueba_2","P-2",12.3,13.9,19.9,13.8,1.3,5.3,2.16666666666667,1,1,2,0.048,NA,0.068,60,16.601,0.277,0.442,0.442,0.537,NA,1,"Ket-CUMS"
"50","CK_g1_2","prueba_2","P-2",22.4,11.2,12.5,13.9,2.5,6.1,4.16666666666667,0,0,1,NA,NA,0.042,60,9.311,0.155,0.577,0.577,0.473,NA,1,"Ket-CUMS"
"51","CK_g1_3","prueba_2","P-2",11,15.4,25.6,7.9,7,7.3,11.6666666666667,1,1,2,0.068,NA,0.048,60,13.087,0.218,0.369,0.369,0.522,NA,1,"Ket-CUMS"
"52","CK_g1_4","prueba_2","P-2",11.5,17,19.8,11.6,7.4,7.7,12.3333333333333,1,1,2,0.039,NA,0.68,60,13.983,0.233,0.394,0.394,0.505,NA,1,"Ket-CUMS"
"53","CK_g1_5","prueba_2","P-2",13.1,16.6,13.6,16.7,3.9,5.9,6.5,1,1,1,0.091,NA,0.061,60,15.458,0.258,0.486,0.486,0.484,NA,1,"Ket-CUMS"
"54","CSK_g1_1","prueba_2","P-2",12.5,10.3,16.2,21,3.9,6.1,6.5,1,1,1,0.054,NA,0.038,60,15.339,0.256,0.437,0.437,0.481,NA,1,"Sal-CUMS-K"
"55","CSK_g1_2","prueba_2","P-2",8.9,14.1,23.9,13.1,9.8,4.6,16.3333333333333,2,2,1,0.034,NA,0.06,60,15.539,0.259,0.357,0.357,0.532,NA,1,"Sal-CUMS-K"
"56","CSK_g1_3","prueba_2","P-2",22.5,14.8,9,13.7,3,8.7,5,0,0,1,NA,NA,0.045,60,11.778,0.196,0.486,0.486,0.365,NA,1,"Sal-CUMS-K"
"57","CSK_g1_4","prueba_2","P-2",15.5,16.1,17.9,10.5,9.7,7.9,16.1666666666667,2,2,2,0.383,NA,0.07,60,16.061,0.268,0.418,0.418,0.427,NA,1,"Sal-CUMS-K"
