Experimento,Entropia_NE,Entropia_SO,Id,Tratamiento,Stage,Entropia_NE_uno,Entropia_SO_uno,null1,null2,nulll3
Fluox_2,16.77743,16.73855,gris-2,Flx,prueba_1,,,,,
Fluox_2,16.78804,17.26936,negro-2,Flx,prueba_1,,,,,
Fluox_2,15.57193,16.47478,control_5,Flx,prueba_1,,,,,
Fluox_2,17.53858,17.36355,control_6,Flx,prueba_1,,,,,
Fluox_2,16.57643,16.01965,gris-2,Flx,prueba_2,,,,,
Fluox_2,16.26565,15.71898,negro-2,Flx,prueba_2,,,,,
Fluox_2,16.57722,15.33955,control_5,Flx,prueba_2,,,,,
Fluox_2,17.02846,17.34316,control_6,Flx,prueba_2,,,,,
Fluox_2,16.92149,17.04099,gris-2,Flx,prueba_rev,,,,,
Fluox_2,15.85771,17.00665,negro-2,Flx,prueba_rev,,,,,
Fluox_2,15.94577,17.08405,control_5,Flx,prueba_rev,,,,,
Fluox_2,17.33406,17.38333,control_6,Flx,prueba_rev,,,,,
Keta_1,16.04479,17.08429,C-K_g1_1,Ketamina-CUMS,prueba_1,,,,,
Keta_1,15.61194,16.66434,C-K_g1_2,Ketamina-CUMS,prueba_1,,,,,
Keta_1,15.51686,16.94019,C-K_g1_3,Ketamina-CUMS,prueba_1,,,,,
Keta_1,14.74155,16.72426,C-K_g1_4,Ketamina-CUMS,prueba_1,,,,,
Keta_1,15.37436,16.79789,C-K_g1_5,Ketamina-CUMS,prueba_1,,,,,
Keta_1,16.44282,16.90374,C-C_g1_1,Salina-CUMS-K,prueba_1,,,,,
Keta_1,16.65356,17.32581,C-C_g1_2,Salina-CUMS-K,prueba_1,,,,,
Keta_1,15.71356,16.77857,C-C_g1_3,Salina-CUMS-K,prueba_1,,,,,
Keta_1,16.02041,17.07849,C-C_g1_4,Salina-CUMS-K,prueba_1,,,,,
Keta_1,17.4395,17.83459,C-K_g1_1,Ketamina-CUMS,prueba_2,,,,,
Keta_1,18.08194,17.79172,C-K_g1_2,Ketamina-CUMS,prueba_2,,,,,
Keta_1,16.78171,17.44409,C-K_g1_3,Ketamina-CUMS,prueba_2,,,,,
Keta_1,17.03307,17.48607,C-K_g1_4,Ketamina-CUMS,prueba_2,,,,,
Keta_1,17.59244,17.63514,C-K_g1_5,Ketamina-CUMS,prueba_2,,,,,
Keta_1,17.22029,17.46611,C-C_g1_1,Salina-CUMS-K,prueba_2,,,,,
Keta_1,16.83489,17.48749,C-C_g1_2,Salina-CUMS-K,prueba_2,,,,,
Keta_1,17.20614,16.79958,C-C_g1_3,Salina-CUMS-K,prueba_2,,,,,
Keta_1,17.00328,17.0344,C-C_g1_4,Salina-CUMS-K,prueba_2,,,,,
Keta_1,16.63832,15.487,C-C_g1_1,Salina-CUMS-K,prueba_rev,,,,,
Keta_1,16.53136,16.21842,C-C_g1_2,Salina-CUMS-K,prueba_rev,,,,,
Keta_1,16.6946,15.91533,C-C_g1_4,Salina-CUMS-K,prueba_rev,,,,,
Keta_1,16.78615,15.07059,C-C_g1_3,Salina-CUMS-K,prueba_rev,,,,,
Keta_1,16.86412,15.88377,C-K_g1_1,Ketamina-CUMS,prueba_rev,,,,,
Keta_1,16.76752,15.50369,C-K_g1_2,Ketamina-CUMS,prueba_rev,,,,,
Keta_1,16.71905,15.87926,C-K_g1_3,Ketamina-CUMS,prueba_rev,,,,,
Keta_1,16.39308,16.10768,C-K_g1_4,Ketamina-CUMS,prueba_rev,,,,,
Keta_1,16.80126,16.28687,C-K_g1_5,Ketamina-CUMS,prueba_rev,,,,,
Keta_2,15.67455,16.85021,#1,Salina-CUMS-K,prueba_1,,,,,
Keta_2,15.1777,16.77294,#2,Salina-CUMS-K,prueba_1,,,,,
Keta_2,16.37739,16.51037,#3,Salina-CUMS-K,prueba_1,,,,,
Keta_2,15.38252,16.37873,#4,Salina-CUMS-K,prueba_1,,,,,
Keta_2,15.59218,16.8542,#5,Ketamina-CUMS,prueba_1,,,,,
Keta_2,17.01494,17.30549,#6,Ketamina-CUMS,prueba_1,,,,,
Keta_2,15.95263,17.24109,#8,Salina-CUMS-K,prueba_1,,,,,
Keta_2,15.71507,16.93507,#9,Ketamina-CUMS,prueba_1,,,,,
Keta_2,15.8422,16.08329,#10,Ketamina-CUMS,prueba_1,,,,,
Keta_2,15.82377,17.04382,#11,Ketamina-CUMS,prueba_1,,,,,
Keta_2,16.42899,16.74788,#1,Salina-CUMS-K,prueba_2,,,,,
Keta_2,16.83013,17.40573,#2,Salina-CUMS-K,prueba_2,,,,,
Keta_2,17.76833,17.17186,#3,Salina-CUMS-K,prueba_2,,,,,
Keta_2,17.4999,17.6481,#4,Salina-CUMS-K,prueba_2,,,,,
Keta_2,17.58308,17.50394,#5,Ketamina-CUMS,prueba_2,,,,,
Keta_2,17.04276,17.36497,#6,Ketamina-CUMS,prueba_2,,,,,
Keta_2,17.67361,17.61893,#8,Salina-CUMS-K,prueba_2,,,,,
Keta_2,17.49098,17.32714,#9,Ketamina-CUMS,prueba_2,,,,,
Keta_2,17.35711,17.6999,#10,Ketamina-CUMS,prueba_2,,,,,
Keta_2,17.85513,17.98245,#11,Ketamina-CUMS,prueba_2,,,,,
Keta_2,16.97484,16.20276,#1,Salina-CUMS-K,prueba_rev,,,,,
Keta_2,17.01816,16.1757,#2,Salina-CUMS-K,prueba_rev,,,,,
Keta_2,16.94379,16.51842,#3,Salina-CUMS-K,prueba_rev,,,,,
Keta_2,16.86014,15.6743,#4,Salina-CUMS-K,prueba_rev,,,,,
Keta_2,16.48934,15.051,#5,Ketamina-CUMS,prueba_rev,,,,,
Keta_2,16.32949,14.69455,#6,Ketamina-CUMS,prueba_rev,,,,,
