,set,entropia
21,28,0.240191859
45,50,4.500375091
16,23,8.386726204
19,26,8.48791887
22,29,9.172953977
18,25,9.369265138
52,9,9.369779514
8,16,9.689757869
15,22,9.691839923
7,15,9.695403284
48,53,9.788433166
27,34,10.05174112
33,4,10.31210939
26,33,10.50869404
11,19,10.7434434
20,27,10.77652393
28,35,10.99525495
50,7,11.05547432
46,51,11.4268399
47,52,11.47140595
6,14,11.49864519
14,21,11.50412387
39,45,11.55714281
24,30,11.55718546
49,6,11.56518635
36,42,11.60857814
5,13,11.76587969
37,43,11.8135922
29,36,11.87713508
13,20,11.89030029
35,41,11.90346452
9,17,11.96985408
42,48,12.05884539
40,46,12.06011712
25,32,12.13995394
10,18,12.14580887
17,24,12.24933554
34,40,12.38495291
38,44,12.58724831
41,47,12.64284655
30,37,13.05352782
2,10,13.13529135
32,39,13.18344756
31,38,13.26312216
43,49,13.42341305
3,11,13.44631953
4,12,13.7502645
44,5,13.77829314
51,8,13.8484385
12,2,14.12251494
23,3,14.18877488
1,1,14.5386732
