,set,entropy
21,28,6.261945545
29,35,6.573770892
15,22,8.153042914
4,12,8.762893669
25,31,9.099924556
14,21,9.104466152
6,14,9.348819936
49,53,9.366966116
8,16,9.428100145
20,27,9.587338011
11,19,9.687340702
30,36,9.729971948
2,10,10.31919154
51,7,10.36982648
18,25,10.64043083
7,15,10.9126632
19,26,10.94558873
28,34,10.95858298
9,17,11.01446267
47,51,11.25208983
22,29,11.33506869
24,30,11.43811124
16,23,11.52790031
3,11,11.62074291
31,37,11.82526233
36,41,11.82999358
17,24,11.8760351
41,46,11.94011629
34,4,11.94043308
35,40,11.95619609
39,44,11.98578085
42,47,12.04058166
38,43,12.06300175
43,48,12.12829526
5,13,12.13629755
45,5,12.32579255
37,42,12.37645628
52,8,12.49111964
40,45,12.51386827
53,9,12.55644825
33,39,12.6325929
13,20,12.86228681
50,6,12.89952448
10,18,13.03131276
48,52,13.12666529
32,38,13.19165734
26,32,13.30486462
44,49,13.53529957
12,2,13.64586743
46,50,13.68960536
27,33,13.90236216
23,3,14.31231513
1,1,14.63349864
