dia,tratamiento,estrategias_hipo,rate,SE,df,asymp.LCL,asymp.UCL,stage
1,Flx,alocentrico,1.773371783,0.385178656,Inf,1.158557818,2.714450181,Entrenamientos_originales
2,Flx,alocentrico,2.277365316,0.314180648,Inf,1.737811564,2.984439101,Entrenamientos_originales
3,Flx,alocentrico,2.924594173,0.316706605,Inf,2.365311401,3.616120513,Entrenamientos_originales
4,Flx,alocentrico,3.755765936,0.596917543,Inf,2.750514639,5.128413992,Entrenamientos_originales
1,Flx-CUMS,alocentrico,2.241010718,0.491968024,Inf,1.457404349,3.445940752,Entrenamientos_originales
2,Flx-CUMS,alocentrico,2.610122621,0.377807141,Inf,1.965405339,3.466328273,Entrenamientos_originales
3,Flx-CUMS,alocentrico,3.040030126,0.459064851,Inf,2.261209335,4.087097564,Entrenamientos_originales
4,Flx-CUMS,alocentrico,3.540746742,0.82086755,Inf,2.247796072,5.577413203,Entrenamientos_originales
1,Sal-CUMS-F,alocentrico,2.033920519,0.360277267,Inf,1.437331399,2.878134214,Entrenamientos_originales
2,Sal-CUMS-F,alocentrico,2.465727782,0.276674966,Inf,1.978943088,3.072252826,Entrenamientos_originales
3,Sal-CUMS-F,alocentrico,2.989208988,0.252741401,Inf,2.532713774,3.527982697,Entrenamientos_originales
4,Sal-CUMS-F,alocentrico,3.623826781,0.444584262,Inf,2.849304907,4.608885665,Entrenamientos_originales
1,Flx,egocentrico,2.639294231,0.486312395,Inf,1.83927509,3.787293197,Entrenamientos_originales
2,Flx,egocentrico,2.143422669,0.284078777,Inf,1.653079432,2.779213538,Entrenamientos_originales
3,Flx,egocentrico,1.740715636,0.332218935,Inf,1.197496837,2.530354011,Entrenamientos_originales
4,Flx,egocentrico,1.413669348,0.425342772,Inf,0.783861912,2.549506482,Entrenamientos_originales
1,Flx-CUMS,egocentrico,2.287152426,0.531801749,Inf,1.450027725,3.607562895,Entrenamientos_originales
2,Flx-CUMS,egocentrico,1.86573394,0.360451376,Inf,1.277619158,2.724570237,Entrenamientos_originales
3,Flx-CUMS,egocentrico,1.521963772,0.469765081,Inf,0.831141231,2.78697968,Entrenamientos_originales
4,Flx-CUMS,egocentrico,1.241534859,0.592692747,Inf,0.487086695,3.164547134,Entrenamientos_originales
1,Sal-CUMS-F,egocentrico,2.186506106,0.398196165,Inf,1.530149588,3.12440626,Entrenamientos_originales
2,Sal-CUMS-F,egocentrico,1.814967958,0.236322309,Inf,1.406164725,2.342619347,Entrenamientos_originales
3,Sal-CUMS-F,egocentrico,1.506562768,0.279034154,Inf,1.047934461,2.165909659,Entrenamientos_originales
4,Sal-CUMS-F,egocentrico,1.250562778,0.365059359,Inf,0.705709717,2.21607727,Entrenamientos_originales
1,Flx,alocentrico,3.218875825,0.2,Inf,2.826883028,3.610868622,Reversa
2,Flx,alocentrico,2.995732274,0.223606798,Inf,2.557471003,3.433993544,Reversa
1,Flx-CUMS,alocentrico,2.397895273,0.301511344,Inf,1.806943897,2.988846649,Reversa
2,Flx-CUMS,alocentrico,3.135494216,0.208514414,Inf,2.726813474,3.544174958,Reversa
1,Sal-CUMS-F,alocentrico,2.397895273,0.301511344,Inf,1.806943897,2.988846649,Reversa
2,Sal-CUMS-F,alocentrico,3.218875825,0.2,Inf,2.826883028,3.610868622,Reversa
1,Flx,egocentrico,2.302585093,0.316227766,Inf,1.682790061,2.922380125,Reversa
2,Flx,egocentrico,2.302585093,0.316227766,Inf,1.682790061,2.922380125,Reversa
1,Flx-CUMS,egocentrico,2.48490665,0.288675135,Inf,1.919113783,3.050699517,Reversa
2,Flx-CUMS,egocentrico,1.386294361,0.499999989,Inf,0.406312391,2.366276331,Reversa
1,Sal-CUMS-F,egocentrico,3.044522438,0.21821789,Inf,2.616823232,3.472221643,Reversa
2,Sal-CUMS-F,egocentrico,2.397895273,0.301511344,Inf,1.806943897,2.988846649,Reversa
1,Flx,perseverancia,4.68E-11,0.999995165,Inf,-1.959954508,1.959954508,Reversa
2,Flx,perseverancia,0,NA,NA,NA,NA,Reversa
1,Flx-CUMS,perseverancia,1.609437912,0.447213591,Inf,0.73291538,2.485960445,Reversa
2,Flx-CUMS,perseverancia,4.68E-11,0.999995165,Inf,-1.959954508,1.959954508,Reversa
1,Sal-CUMS-F,perseverancia,1.791759469,0.408248289,Inf,0.991607527,2.591911412,Reversa
2,Sal-CUMS-F,perseverancia,1.386294361,0.499999989,Inf,0.406312391,2.366276331,Reversa
